DISTRICT,Latitude,Longitude,date,Precip,Pressure,Humidity_2m,RH_2m,Temp_2m,MaxTemp_2m,MinTemp_2m,TempRange_2m,WindSpeed_10m,WindSpeed_50m,Rice(coarse)_price,Wheat_flour_price
bajhang,29.6,81.2,2019-08-15,3.131612903225806,67.93774193548387,11.567096774193548,84.56645161290322,12.82967741935484,17.618387096774192,8.889999999999999,8.729354838709678,2.3848387096774197,2.3070967741935484,45.0,48.0
bajhang,29.6,81.2,2019-09-15,4.056,68.132,10.796333333333331,87.00366666666667,11.315666666666669,15.712666666666667,7.864,7.848666666666667,2.302,2.307333333333333,45.0,48.0
bajhang,29.6,81.2,2019-10-15,0.1493548387096774,68.23870967741935,6.237096774193549,72.85935483870968,5.828709677419355,11.830645161290322,1.427741935483871,10.401935483870966,2.108064516129032,2.034516129032258,45.0,48.0
bajhang,29.6,81.2,2019-11-15,0.8986666666666667,68.201,4.073333333333333,60.25933333333333,2.686333333333333,8.800666666666666,-1.7856666666666667,10.585333333333333,2.037333333333333,2.068,45.0,48.0
bajhang,29.6,81.2,2019-12-15,1.9835483870967745,67.92709677419354,2.2451612903225806,61.59129032258064,-6.000322580645161,2.2254838709677416,-12.623870967741937,14.850322580645162,2.4816129032258067,2.5577419354838717,45.0,48.0
banke,28.1,81.7,2001-04-15,0.1313333333333333,92.196,4.490666666666667,19.55366666666667,26.621666666666663,34.507666666666665,19.031,15.478333333333332,3.1093333333333333,3.981333333333333,12.0,12.0
banke,28.1,81.7,2001-05-15,1.3116129032258064,91.74967741935484,9.22709677419355,32.61774193548387,29.811935483870965,36.42354838709677,23.23483870967742,13.188387096774193,2.6748387096774198,3.30258064516129,11.0,13.0
banke,28.1,81.7,2001-06-15,6.062,91.514,15.325,57.31333333333334,28.747,33.608666666666664,24.248,9.360333333333331,2.1983333333333333,2.748333333333333,13.0,15.5
banke,28.1,81.7,2001-07-15,6.93258064516129,91.56354838709676,17.9941935483871,71.95967741935483,27.47935483870968,31.49806451612903,23.897096774193543,7.601935483870967,2.2625806451612904,2.948709677419355,12.0,13.0
banke,28.1,81.7,2001-08-15,5.343548387096774,91.7567741935484,18.14322580645161,75.26354838709678,26.75774193548387,30.97967741935484,23.09967741935484,7.879354838709677,2.073870967741936,2.67258064516129,13.0,13.0
banke,28.1,81.7,2001-09-15,2.6566666666666667,92.08966666666667,14.89,67.825,25.314,30.133333333333333,21.191666666666663,8.941666666666666,1.836666666666667,2.3526666666666665,13.75,13.0
banke,28.1,81.7,2001-10-15,1.3029032258064517,92.45193548387095,9.798387096774194,51.4741935483871,22.85322580645161,29.22741935483871,18.056774193548385,11.170645161290324,2.096129032258065,2.69741935483871,10.0,13.0
banke,28.1,81.7,2001-11-15,0.1273333333333333,92.813,5.380333333333334,37.09133333333333,18.55666666666667,25.890666666666668,13.888666666666667,12.002333333333333,2.009333333333333,2.4883333333333337,6.0,11.0
banke,28.1,81.7,2001-12-15,0.0006451612903225,92.99935483870968,3.593225806451613,32.18064516129032,14.62741935483871,22.178709677419352,10.089032258064517,12.09032258064516,1.9425806451612904,2.3751612903225805,9.5,13.2
banke,28.1,81.7,2002-01-15,0.6103225806451613,92.83064516129032,4.071612903225806,39.83096774193548,13.246451612903224,20.36903225806452,8.807419354838709,11.56,2.092258064516129,2.7016129032258065,11.0,14.0
banke,28.1,81.7,2002-02-15,1.255,92.87035714285716,4.437142857142858,36.035,16.080714285714286,24.185714285714287,10.270357142857142,13.913928571428572,2.7178571428571425,3.551071428571429,11.0,14.0
banke,28.1,81.7,2002-05-15,0.7229032258064516,91.72032258064516,7.610967741935484,26.13387096774193,30.59064516129032,37.5958064516129,23.55258064516129,14.04225806451613,2.9254838709677418,3.6351612903225807,11.66,12.33
banke,28.1,81.7,2002-06-15,2.6486666666666663,91.59733333333334,12.453666666666669,41.86233333333334,30.646666666666665,36.49033333333333,24.874,11.616333333333332,2.646,3.301,12.5,12.83
banke,28.1,81.7,2002-07-15,2.851290322580645,91.42290322580644,13.586129032258064,44.05612903225806,31.258709677419358,36.86806451612903,26.161290322580644,10.708064516129031,2.8096774193548386,3.619032258064516,13.0,15.0
banke,28.1,81.7,2002-08-15,3.760322580645161,91.75161290322582,16.796774193548387,67.05806451612904,27.5,32.15870967741935,23.732903225806453,8.426774193548388,2.404516129032258,3.094193548387097,13.75,14.75
banke,28.1,81.7,2002-09-15,3.8976666666666655,92.17966666666666,14.766666666666667,68.66333333333334,24.959333333333333,29.60533333333333,21.325666666666667,8.281666666666666,2.1146666666666665,2.796666666666667,13.19,15.0
banke,28.1,81.7,2002-10-15,0.2135483870967742,92.52129032258064,9.20032258064516,47.73903225806452,22.970645161290324,29.65096774193548,17.923548387096773,11.725483870967745,2.203225806451613,2.7838709677419358,14.0,15.0
banke,28.1,81.7,2002-11-15,0.1123333333333333,92.73466666666668,5.309,36.11333333333334,18.84933333333333,26.324666666666666,13.896666666666668,12.428333333333336,2.2096666666666662,2.790666666666666,14.0,15.0
banke,28.1,81.7,2002-12-15,1.1358064516129032,92.82032258064515,3.765483870967742,33.82354838709677,14.661612903225809,22.17290322580645,10.220322580645162,11.95451612903226,2.201935483870968,2.793225806451613,14.0,13.0
banke,28.1,81.7,2003-01-15,0.7164516129032258,92.92967741935485,3.67,36.76806451612903,12.884193548387096,20.79806451612903,8.045483870967741,12.751612903225809,2.246774193548388,2.86741935483871,14.0,15.0
banke,28.1,81.7,2003-02-15,0.8953571428571429,92.74357142857144,4.9975000000000005,42.37964285714286,15.463571428571427,22.83178571428571,10.22,12.6125,2.6942857142857144,3.4932142857142856,14.0,15.0
banke,28.1,81.7,2003-04-15,0.1673333333333333,92.19166666666666,4.692666666666667,19.140666666666668,27.354666666666667,35.42766666666667,19.738666666666667,15.688333333333333,3.033333333333333,3.878333333333333,14.0,16.0
banke,28.1,81.7,2003-05-15,0.207741935483871,91.86806451612902,4.958064516129032,18.065161290322585,29.298709677419357,36.78419354838709,21.549032258064518,15.235161290322582,3.2538709677419355,4.116774193548388,14.0,16.0
banke,28.1,81.7,2003-06-15,1.8553333333333333,91.43333333333334,11.019333333333332,37.86933333333333,30.875,36.74033333333333,25.196666666666665,11.544333333333332,2.658666666666667,3.3003333333333336,14.0,16.0
banke,28.1,81.7,2003-07-15,7.7783870967741935,91.71225806451612,17.636774193548387,70.54709677419355,27.470967741935485,31.79774193548387,23.706451612903223,8.093870967741935,2.6980645161290324,3.521935483870968,15.33,15.0
banke,28.1,81.7,2003-08-15,5.339677419354839,91.76483870967742,18.05032258064516,74.52903225806452,26.88258064516129,30.80322580645161,23.510645161290324,7.291612903225806,2.148064516129032,2.7738709677419355,15.33,15.0
banke,28.1,81.7,2003-09-15,4.8116666666666665,92.03633333333332,17.226333333333333,79.36033333333333,25.026333333333334,28.762666666666668,22.089666666666663,6.673,1.7916666666666667,2.36,14.5,16.33
banke,28.1,81.7,2003-10-15,0.9538709677419356,92.54612903225808,10.12225806451613,55.784516129032255,22.11903225806452,28.49258064516129,17.602903225806454,10.889677419354838,2.0396774193548386,2.5935483870967744,14.66,16.0
banke,28.1,81.7,2003-11-15,0.0013333333333333,92.77966666666666,6.023666666666667,43.10833333333333,17.779666666666667,25.11,13.321666666666664,11.788666666666668,2.141,2.7496666666666667,14.41,16.5
banke,28.1,81.7,2003-12-15,0.2541935483870968,92.95096774193549,4.764193548387096,43.54709677419355,14.255483870967742,21.408709677419356,9.991612903225809,11.417741935483871,1.9716129032258063,2.5067741935483867,12.66,17.0
banke,28.1,81.7,2004-01-15,1.149032258064516,92.8132258064516,4.736774193548388,47.28903225806452,12.805806451612904,19.697741935483872,8.500322580645161,11.19774193548387,2.070967741935484,2.66,12.83,15.66
banke,28.1,81.7,2004-04-15,0.959,92.07933333333334,5.816999999999999,23.583,27.659333333333333,35.099000000000004,20.651666666666664,14.447666666666668,3.1006666666666667,4.085333333333334,12.0,15.0
banke,28.1,81.7,2004-05-15,3.4248387096774198,91.77225806451614,8.573225806451612,31.62258064516129,29.14483870967742,36.04967741935484,22.280967741935484,13.769354838709678,2.870967741935484,3.647096774193548,12.66,15.66
banke,28.1,81.7,2004-06-15,6.7170000000000005,91.634,14.512666666666666,56.013333333333335,28.309666666666665,33.366,23.604333333333333,9.761666666666668,2.925,3.895000000000001,14.13,15.66
banke,28.1,81.7,2004-07-15,11.711290322580645,91.61129032258064,18.14741935483871,80.16709677419354,25.71161290322581,29.36290322580645,22.54,6.823225806451612,2.31774193548387,3.1470967741935483,13.0,15.33
banke,28.1,81.7,2004-08-15,5.1093548387096765,91.68709677419356,18.565161290322585,81.2432258064516,25.836774193548383,29.437419354838703,22.803870967741933,6.634193548387096,2.130967741935484,2.950322580645161,14.33,16.0
banke,28.1,81.7,2004-09-15,4.304333333333333,92.18033333333332,16.074666666666666,76.36866666666667,24.584333333333333,28.674,21.174333333333333,7.5,1.9373333333333331,2.5816666666666666,15.33,15.33
banke,28.1,81.7,2004-10-15,1.2358064516129033,92.71193548387096,10.35,61.03516129032258,20.82064516129032,26.261935483870968,16.36806451612903,9.892903225806451,1.969354838709677,2.5667741935483868,14.33,15.33
banke,28.1,81.7,2004-11-15,0.03,92.871,6.393666666666666,48.342333333333336,17.259666666666664,23.79433333333333,12.856333333333334,10.939,1.932,2.4556666666666667,15.0,15.66
banke,28.1,81.7,2004-12-15,0.0212903225806451,92.86258064516127,5.088709677419355,44.766129032258064,14.699354838709676,21.36806451612903,10.64774193548387,10.721612903225807,1.8806451612903223,2.3574193548387097,14.66,16.0
banke,28.1,81.7,2005-01-15,1.7051612903225806,92.80903225806452,4.867741935483871,49.30516129032258,12.778064516129032,19.302258064516128,8.639999999999999,10.660967741935483,2.040967741935484,2.7061290322580644,14.66,16.0
banke,28.1,81.7,2005-02-15,0.4632142857142857,92.7075,5.280357142857143,43.57142857142857,15.865,23.29357142857143,10.38642857142857,12.907142857142857,2.8607142857142853,3.900357142857143,16.66,16.66
banke,28.1,81.7,2005-03-15,0.8490322580645161,92.50258064516127,6.690645161290322,39.01516129032258,21.36741935483871,28.916774193548385,14.913225806451614,14.004193548387097,2.864516129032258,3.7732258064516127,17.5,16.66
banke,28.1,81.7,2005-06-15,4.070666666666667,91.43966666666668,10.231,33.70033333333333,31.691666666666663,37.96666666666667,25.529666666666667,12.436333333333332,2.8063333333333333,3.549,17.0,17.0
banke,28.1,81.7,2005-07-15,13.631612903225806,91.63709677419357,18.477741935483877,79.28290322580645,26.213548387096772,29.776129032258066,23.157096774193548,6.6174193548387095,2.981935483870968,4.006129032258064,17.33,17.0
banke,28.1,81.7,2005-08-15,11.15032258064516,91.66225806451614,18.811612903225804,83.94225806451612,25.47870967741936,28.90741935483871,22.508064516129032,6.400322580645161,2.069032258064516,2.742903225806452,19.33,17.0
banke,28.1,81.7,2005-09-15,5.277666666666667,92.10633333333334,17.39,83.52933333333334,24.345666666666663,27.734666666666666,21.55666666666667,6.179333333333333,2.195666666666667,3.128333333333333,20.0,16.5
banke,28.1,81.7,2005-10-15,2.013548387096774,92.60290322580646,12.502258064516129,72.0841935483871,21.337741935483876,26.02741935483871,17.531935483870967,8.495806451612903,1.696774193548387,2.1570967741935485,19.33,17.0
banke,28.1,81.7,2005-11-15,0.0,92.72666666666667,6.430666666666666,49.897333333333336,16.681333333333335,23.27766666666667,12.384666666666668,10.894333333333332,1.9626666666666668,2.5156666666666667,17.0,17.5
banke,28.1,81.7,2005-12-15,0.1896774193548387,92.79870967741935,4.65,42.98677419354839,14.080645161290322,21.010322580645163,9.883548387096774,11.126129032258063,1.889677419354839,2.4158064516129034,17.5,16.0
banke,28.1,81.7,2006-01-15,0.0003225806451612,92.77354838709678,4.033870967741936,37.01548387096774,14.072903225806453,22.001290322580644,9.14548387096774,12.85451612903226,2.329677419354838,3.0787096774193548,17.5,17.5
banke,28.1,81.7,2006-02-15,0.0,92.62321428571428,5.1450000000000005,35.6325,18.687142857142856,26.582142857142856,13.260357142857144,13.322142857142856,2.611428571428572,3.437142857142857,18.5,18.0
banke,28.1,81.7,2006-04-15,0.743,92.164,6.208,28.817666666666664,25.17366666666667,32.934999999999995,17.77466666666667,15.158666666666669,2.728333333333333,3.552,18.0,19.0
banke,28.1,81.7,2006-05-15,2.921290322580645,91.9316129032258,11.492258064516127,43.41967741935484,28.64935483870968,34.53290322580645,22.71451612903226,11.817096774193548,2.325483870967742,2.9983870967741937,17.75,22.0
banke,28.1,81.7,2006-06-15,9.252666666666666,91.74133333333332,14.846666666666666,60.583666666666666,27.41133333333333,32.146,22.667,9.479666666666668,2.4046666666666665,3.16,17.5,20.75
banke,28.1,81.7,2006-07-15,12.43483870967742,91.55419354838708,19.14322580645161,80.71967741935484,26.46225806451613,30.068387096774195,23.321290322580648,6.745483870967743,2.217741935483871,2.991612903225806,18.5,21.0
banke,28.1,81.7,2006-08-15,6.940322580645161,91.7841935483871,18.43870967741936,82.0341935483871,25.587419354838712,29.03967741935484,22.62451612903226,6.416451612903225,2.2109677419354843,3.0964516129032256,18.0,21.5
banke,28.1,81.7,2006-09-15,2.931666666666666,92.13233333333332,16.76,79.394,24.600666666666665,28.611666666666668,21.037,7.573666666666667,1.967,2.5930000000000004,17.25,23.0
banke,28.1,81.7,2006-10-15,0.914516129032258,92.64645161290322,10.966774193548387,59.87096774193548,22.261935483870968,27.85,17.55548387096774,10.294516129032258,1.906774193548387,2.487096774193548,17.25,23.0
banke,28.1,81.7,2006-11-15,0.0656666666666666,92.75466666666668,7.198333333333333,50.723333333333336,17.929666666666666,24.567,13.439333333333334,11.127333333333333,2.119,2.7623333333333333,17.5,23.5
banke,28.1,81.7,2006-12-15,0.6235483870967742,92.89612903225807,5.126451612903226,45.31967741935484,14.721290322580646,21.734193548387097,10.390645161290324,11.343225806451612,2.121935483870968,2.7493548387096776,17.0,23.0
banke,28.1,81.7,2007-01-15,0.0009677419354838,92.89741935483872,3.5232258064516127,33.762903225806454,13.467096774193548,21.331612903225807,8.669032258064517,12.663870967741936,2.349354838709677,3.05,17.0,23.0
banke,28.1,81.7,2007-02-15,4.383928571428571,92.68964285714286,5.904642857142858,52.81785714285714,14.706785714285717,21.27857142857143,9.692142857142857,11.585,2.5282142857142857,3.3353571428571427,17.0,23.0
banke,28.1,81.7,2007-03-15,2.672258064516129,92.50516129032258,7.00516129032258,47.491290322580646,18.91,26.118709677419357,12.985161290322582,13.133225806451613,2.7861290322580645,3.7451612903225806,17.75,25.0
banke,28.1,81.7,2008-01-15,0.0232258064516129,92.7041935483871,4.400967741935484,42.95870967741936,12.996451612903224,19.806774193548385,8.571290322580644,11.235161290322582,2.180967741935484,2.9093548387096773,21.0,20.0
banke,28.1,81.7,2008-02-15,0.3462068965517241,92.6503448275862,4.161724137931034,37.40620689655172,14.42,21.977241379310342,8.827241379310346,13.14793103448276,2.3058620689655176,2.919655172413793,22.0,20.0
banke,28.1,81.7,2008-03-15,0.002258064516129,92.35225806451614,4.309677419354839,25.307741935483868,21.48677419354839,29.736451612903227,14.59032258064516,15.143548387096772,2.886774193548387,3.7774193548387096,23.0,20.0
banke,28.1,81.7,2008-04-15,1.1943333333333332,92.16533333333334,5.769333333333334,26.809666666666665,25.90266666666667,33.784,18.56533333333333,15.219666666666663,2.9253333333333336,3.785333333333333,22.5,20.33
banke,28.1,81.7,2008-05-15,2.5141935483870967,91.80709677419355,8.825483870967743,33.64709677419355,28.88193548387097,35.33129032258064,22.54032258064516,12.790645161290325,2.7506451612903224,3.5106451612903227,23.0,20.66
banke,28.1,81.7,2008-06-15,14.616333333333332,91.60466666666666,17.287333333333333,73.28133333333334,26.543,30.139666666666667,23.138666666666666,7.000666666666667,1.997,2.5896666666666666,22.5,20.33
banke,28.1,81.7,2008-07-15,16.787096774193547,91.57129032258064,19.17258064516129,86.89612903225807,25.21451612903226,28.05516129032258,22.656129032258065,5.400967741935484,2.120967741935484,2.857096774193548,28.0,17.0
banke,28.1,81.7,2008-08-15,10.899032258064516,91.7332258064516,18.913870967741936,87.72645161290322,24.85967741935484,27.807096774193543,22.3,5.5041935483870965,2.1187096774193552,2.9377419354838707,28.0,17.0
banke,28.1,81.7,2008-09-15,6.983666666666666,92.076,16.862333333333332,83.51666666666667,23.822,27.32033333333333,20.938333333333333,6.381333333333333,1.882,2.515,28.0,17.0
banke,28.1,81.7,2008-10-15,0.3329032258064516,92.5516129032258,13.26741935483871,76.78709677419356,21.24225806451613,25.75935483870968,17.778387096774193,7.980322580645161,1.7125806451612902,2.144516129032258,28.0,17.0
banke,28.1,81.7,2008-11-15,0.095,92.76133333333334,9.254333333333332,67.03766666666667,17.678,23.176,14.039666666666667,9.137333333333334,1.6443333333333332,2.0416666666666665,20.0,21.33
banke,28.1,81.7,2008-12-15,0.0383870967741935,92.80903225806452,6.764516129032257,58.28290322580645,15.031935483870967,21.20903225806452,11.368709677419355,9.840645161290322,1.782258064516129,2.2790322580645164,20.0,22.33
banke,28.1,81.7,2009-01-15,0.0006451612903225,92.85967741935484,5.219677419354839,46.21032258064516,14.670645161290324,21.626451612903224,10.44741935483871,11.180645161290323,2.028387096774193,2.6287096774193546,21.0,20.5
banke,28.1,81.7,2009-02-15,0.4960714285714285,92.55357142857144,4.660714285714286,36.29714285714286,16.71535714285714,24.662142857142857,11.063928571428573,13.598214285714286,2.751785714285714,3.637857142857143,24.0,24.0
banke,28.1,81.7,2009-03-15,0.1590322580645161,92.44870967741934,4.967741935483871,29.28967741935484,20.990322580645163,29.241935483870968,14.168064516129032,15.073870967741936,2.8651612903225807,3.732903225806452,25.0,24.5
banke,28.1,81.7,2009-04-15,0.025,92.11033333333332,4.495666666666667,19.088,26.984666666666666,35.187999999999995,19.170333333333332,16.019666666666666,3.068,3.92,24.0,23.0
banke,28.1,81.7,2009-05-15,1.9767741935483871,91.8767741935484,9.588064516129032,35.395806451612906,28.99741935483871,35.43193548387097,22.673548387096773,12.759354838709678,2.8445161290322583,3.68,25.0,24.5
banke,28.1,81.7,2009-06-15,1.6556666666666666,91.544,9.859666666666667,32.335,31.233666666666668,37.73533333333333,24.659,13.079333333333333,2.9853333333333336,3.764,26.33,22.67
banke,28.1,81.7,2009-07-15,8.572258064516129,91.49451612903223,17.83677419354839,67.11419354838709,28.478387096774195,32.90161290322581,24.48354838709677,8.419354838709678,2.471290322580645,3.206451612903226,27.15,22.9
banke,28.1,81.7,2009-08-15,11.795806451612904,91.8051612903226,18.675161290322578,82.47612903225807,25.738064516129032,28.991612903225807,22.92806451612903,6.064516129032258,2.14,2.962258064516129,26.0,24.0
banke,28.1,81.7,2009-09-15,6.676,92.08233333333332,17.487000000000002,83.85433333333334,24.373,27.78,21.417666666666666,6.364,1.8436666666666668,2.4493333333333336,26.0,24.0
banke,28.1,81.7,2009-10-15,4.464838709677419,92.47258064516129,11.227741935483872,66.44709677419355,20.63935483870968,25.731612903225805,16.948387096774194,8.781935483870969,2.0903225806451613,2.805483870967742,26.0,24.0
banke,28.1,81.7,2009-11-15,0.4223333333333333,92.74833333333332,8.005333333333333,59.656666666666666,17.17366666666667,23.122666666666667,13.282666666666668,9.842333333333332,1.9763333333333333,2.6243333333333334,27.0,25.0
banke,28.1,81.7,2009-12-15,0.1919354838709677,92.8216129032258,5.54258064516129,52.01870967741935,13.633870967741936,20.05903225806452,9.828387096774192,10.230645161290322,1.9848387096774196,2.586129032258065,28.0,25.0
banke,28.1,81.7,2010-01-15,0.1951612903225806,92.93483870967742,4.686129032258065,46.5041935483871,13.068387096774194,20.29,8.761290322580646,11.528387096774193,2.082258064516129,2.6490322580645165,30.0,24.0
banke,28.1,81.7,2010-02-15,0.8532142857142857,92.69964285714286,5.029642857142858,42.16892857142857,15.5175,23.0725,10.186071428571427,12.886785714285711,2.503571428571429,3.2760714285714285,30.0,24.0
banke,28.1,81.7,2010-03-15,0.04,92.41741935483871,5.548709677419355,30.433225806451613,22.496774193548383,30.914516129032258,15.677741935483873,15.236451612903226,3.1361290322580646,4.15,30.0,25.0
banke,28.1,81.7,2010-04-15,0.0669999999999999,92.118,4.580333333333333,17.1,28.655,36.92766666666667,20.79133333333333,16.136333333333333,3.195333333333333,4.143,29.0,24.5
banke,28.1,81.7,2010-05-15,1.4787096774193549,91.80129032258066,7.714193548387096,26.311935483870965,30.726774193548387,37.69935483870968,23.662258064516127,14.036129032258064,2.9561290322580644,3.759677419354839,28.0,28.0
banke,28.1,81.7,2010-06-15,2.0803333333333334,91.63866666666668,11.776666666666667,37.50866666666666,31.477,37.60466666666667,25.231,12.373333333333331,2.808,3.5483333333333333,28.5,28.25
banke,28.1,81.7,2010-07-15,13.84741935483871,91.7641935483871,17.96709677419355,72.76322580645162,27.36,31.345161290322583,23.881290322580647,7.463870967741935,2.6996774193548387,3.6429032258064513,28.5,28.25
banke,28.1,81.7,2010-08-15,9.339677419354835,91.91032258064516,18.9158064516129,84.82451612903226,25.456129032258065,28.616129032258065,22.736451612903227,5.879354838709677,2.119677419354839,2.921290322580645,25.0,28.0
banke,28.1,81.7,2010-09-15,11.583666666666666,92.09966666666666,17.400666666666666,86.39733333333334,23.783,27.026333333333334,21.130666666666663,5.895333333333332,2.011,2.841333333333333,25.0,28.0
banke,28.1,81.7,2010-10-15,0.5212903225806451,92.37129032258063,13.619677419354838,76.96548387096773,21.54516129032258,25.988064516129032,18.06645161290323,7.921612903225806,1.7764516129032255,2.2790322580645164,25.0,28.0
banke,28.1,81.7,2010-11-15,1.2056666666666669,92.67466666666664,9.902333333333331,70.82966666666667,17.897666666666666,23.23133333333333,14.281666666666666,8.950333333333333,1.8903333333333332,2.4876666666666667,31.0,31.0
banke,28.1,81.7,2010-12-15,0.3783870967741936,92.59774193548388,5.523548387096774,52.869032258064514,13.463548387096774,19.850645161290323,9.56548387096774,10.285483870967743,1.8687096774193548,2.402258064516129,31.0,31.0
banke,28.1,81.7,2011-01-15,0.8219354838709677,92.66,4.692903225806451,51.72774193548387,11.409354838709678,18.28161290322581,6.77741935483871,11.502903225806453,2.2551612903225804,2.9451612903225803,30.0,24.0
banke,28.1,81.7,2011-02-15,0.9164285714285716,92.62321428571428,5.6125,47.715,15.3675,22.356428571428573,10.38035714285714,11.976071428571428,2.33,3.0371428571428574,30.0,24.0
banke,28.1,81.7,2011-03-15,0.2212903225806451,92.42,5.7861290322580645,35.77645161290322,20.41548387096774,28.38096774193549,13.975806451612904,14.406129032258065,2.857096774193548,3.7851612903225806,30.0,24.0
banke,28.1,81.7,2011-04-15,0.4513333333333333,92.325,6.523,30.37333333333333,24.882,32.45333333333333,17.842333333333332,14.611333333333334,2.878,3.798,28.33,32.33
banke,28.1,81.7,2011-05-15,2.280967741935484,91.87064516129033,9.649677419354838,34.60225806451613,29.590967741935486,36.243870967741934,22.828387096774197,13.41483870967742,2.7548387096774194,3.5238709677419355,28.33,25.0
banke,28.1,81.7,2011-06-15,13.091333333333331,91.512,13.829666666666666,51.72233333333334,28.890666666666668,34.315333333333335,23.627333333333336,10.687,2.7143333333333333,3.4746666666666663,29.0,24.66
banke,28.1,81.7,2011-07-15,13.51516129032258,91.63032258064516,19.35290322580645,86.25064516129032,25.498387096774195,28.484516129032254,22.80290322580645,5.681612903225807,2.205806451612903,2.979677419354839,30.0,24.0
banke,28.1,81.7,2011-08-15,14.790322580645162,91.7983870967742,18.87161290322581,87.39903225806451,24.88193548387097,27.851290322580645,22.36225806451613,5.488709677419355,2.2993548387096774,3.2041935483870967,30.0,24.0
banke,28.1,81.7,2011-09-15,6.475,91.93633333333334,17.809666666666665,86.336,24.15,27.624666666666663,21.37833333333333,6.246666666666667,2.022666666666667,2.757,30.0,24.0
banke,28.1,81.7,2011-10-15,0.0290322580645161,92.49,13.183870967741935,75.49903225806453,21.394516129032255,25.970967741935485,17.773225806451613,8.199677419354838,1.7883870967741935,2.282258064516129,30.0,24.33
banke,28.1,81.7,2011-12-15,0.2016129032258064,92.79483870967742,5.342903225806452,49.55032258064516,13.813225806451612,20.39322580645161,9.861290322580643,10.53451612903226,1.835483870967742,2.2974193548387096,25.0,25.0
banke,28.1,81.7,2012-01-15,2.1216129032258064,92.7374193548387,5.335806451612903,58.42193548387097,11.406774193548388,17.530645161290323,7.334516129032258,10.197096774193549,2.176774193548387,2.888709677419355,28.0,32.0
banke,28.1,81.7,2012-02-15,0.4410344827586207,92.55103448275862,5.22551724137931,46.04379310344827,14.824482758620688,22.07137931034483,9.580344827586206,12.488275862068967,2.5917241379310343,3.507586206896552,28.0,32.0
banke,28.1,81.7,2012-03-15,0.2774193548387096,92.38903225806452,4.816451612903226,31.250967741935483,19.71451612903226,27.89290322580645,12.984193548387095,14.90967741935484,2.907741935483871,3.7567741935483863,28.0,32.0
banke,28.1,81.7,2012-04-15,0.7976666666666666,92.15133333333333,7.068666666666667,32.14266666666666,25.569333333333336,33.05533333333333,18.735333333333337,14.319,3.1493333333333333,4.1786666666666665,28.0,32.0
